Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,day_of_week,quarter,lag_1,lag_2,lag_4,lag_12
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,4,2,1391256.12,1466058.28,1594968.28,1643690.9
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,4,2,1425100.71,1391256.12,1545418.53,1641957.44
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,4,2,1603955.12,1425100.71,1466058.28,1611968.17
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,4,2,1494251.5,1603955.12,1391256.12,1409727.59
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,4,2,1399662.07,1494251.5,1425100.71,1554806.68
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,2,1432069.95,1399662.07,1603955.12,1439541.59
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,4,2,1615524.71,1432069.95,1494251.5,1472515.79
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,4,2,1542561.09,1615524.71,1399662.07,1404429.92
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,4,2,1503284.06,1542561.09,1432069.95,1594968.28
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,4,3,1422711.6,1503284.06,1615524.71,1545418.53
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,4,3,1492418.14,1422711.6,1542561.09,1466058.28
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,4,3,1546074.18,1492418.14,1503284.06,1391256.12
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,4,3,1448938.92,1546074.18,1422711.6,1425100.71
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,4,3,1385065.2,1448938.92,1492418.14,1603955.12
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,4,3,1371986.6,1385065.2,1546074.18,1494251.5
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,4,3,1605491.78,1371986.6,1448938.92,1399662.07
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,4,3,1508237.76,1605491.78,1385065.2,1432069.95
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,4,3,1513080.49,1508237.76,1371986.6,1615524.71
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,4,3,1449142.92,1513080.49,1605491.78,1542561.09
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,4,3,1540163.53,1449142.92,1508237.76,1503284.06
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,37,4,3,1507460.69,1540163.53,1513080.49,1422711.6
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,38,4,3,1430378.67,1507460.69,1449142.92,1492418.14
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,39,4,4,1351791.03,1430378.67,1540163.53,1546074.18
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,40,4,4,1453329.5,1351791.03,1507460.69,1448938.92
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,41,4,4,1508239.93,1453329.5,1430378.67,1385065.2
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,42,4,4,1459409.1,1508239.93,1351791.03,1371986.6
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,43,4,4,1345454.0,1459409.1,1453329.5,1605491.78
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,44,4,4,1384209.22,1345454.0,1508239.93,1508237.76
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,45,4,4,1551659.28,1384209.22,1459409.1,1513080.49
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,46,4,4,1494479.49,1551659.28,1345454.0,1449142.92
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,47,4,4,1483784.18,1494479.49,1384209.22,1540163.53
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,48,4,4,1955624.11,1483784.18,1551659.28,1507460.69
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,49,4,4,1548033.78,1955624.11,1494479.49,1430378.67
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,50,4,4,1682614.26,1548033.78,1483784.18,1351791.03
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,51,4,4,1891034.93,1682614.26,1955624.11,1453329.5
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,52,4,4,2387950.2,1891034.93,1548033.78,1508239.93
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1,4,1,1367320.01,2387950.2,1682614.26,1459409.1
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,2,4,1,1444732.28,1367320.01,1891034.93,1345454.0
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,3,4,1,1391013.96,1444732.28,2387950.2,1384209.22
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,4,4,1,1327405.42,1391013.96,1367320.01,1551659.28
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,5,4,1,1316899.31,1327405.42,1444732.28,1494479.49
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,6,4,1,1606629.58,1316899.31,1391013.96,1483784.18
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,7,4,1,1649614.93,1606629.58,1327405.42,1955624.11
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,8,4,1,1686842.78,1649614.93,1316899.31,1548033.78
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,9,4,1,1456800.28,1686842.78,1606629.58,1682614.26
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,10,4,1,1636263.41,1456800.28,1649614.93,1891034.93
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,11,4,1,1553191.63,1636263.41,1686842.78,2387950.2
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,12,4,1,1576818.06,1553191.63,1456800.28,1367320.01
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,13,4,2,1541102.38,1576818.06,1636263.41,1444732.28
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,14,4,2,1495064.75,1541102.38,1553191.63,1391013.96
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,4,15,4,2,1614259.35,1495064.75,1576818.06,1327405.42
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,4,16,4,2,1559889.0,1614259.35,1541102.38,1316899.31
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,4,17,4,2,1564819.81,1559889.0,1495064.75,1606629.58
