Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,day_of_week,quarter,lag_1,lag_2,lag_4,lag_12,Predicted,Demand_change_%,Stock_risk
1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,2012,5,18,4,2,1468928.37,1521577.87,1899676.88,1802477.43,1640024.4663447887,11.647681387267953,Hight Demand - Increase Inventory
1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,2012,5,19,4,2,1684519.99,1468928.37,1621031.7,1819870.0,1612198.819768563,-4.293280617669434,Stable
1,2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,2012,5,20,4,2,1611096.05,1684519.99,1521577.87,1539387.83,1544417.3840395138,-4.138714508082015,Stable
1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,2012,5,21,4,2,1595901.87,1611096.05,1468928.37,1688420.76,1518222.5068512186,-4.86742729042491,Stable
1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,2012,6,22,4,2,1555444.55,1595901.87,1684519.99,1675431.16,1603019.4999057725,3.0586079012442107,Stable
1,2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,2012,6,23,4,2,1624477.58,1555444.55,1611096.05,1677472.78,1586740.443256922,-2.3230321678602674,Stable
1,2012-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,2012,6,24,4,2,1697230.96,1624477.58,1595901.87,1511068.07,1582648.5784419402,-6.751136660744141,Low Demand - Decrease Inventory
1,2012-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,2012,6,25,4,2,1630607.0,1697230.96,1555444.55,1649604.63,1572840.4821629077,-3.5426388968704465,Stable
1,2012-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,2012,6,26,4,2,1527845.81,1630607.0,1624477.58,1899676.88,1571125.7794177607,2.8327445828948283,Stable
1,2012-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,2012,7,27,4,3,1540421.49,1527845.81,1697230.96,1621031.7,1565335.2449395582,1.6173336389612571,Stable
1,2012-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,2012,7,28,4,3,1769854.16,1540421.49,1630607.0,1521577.87,1606074.7111216784,-9.25383868229694,Low Demand - Decrease Inventory
1,2012-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,2012,7,29,4,3,1527014.04,1769854.16,1527845.81,1468928.37,1519748.7161079198,-0.4757863190360859,Stable
1,2012-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,2012,7,30,4,3,1497954.76,1527014.04,1540421.49,1684519.99,1498067.596439153,0.00753270006318126,Stable
